hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
4,44,00020000,特急,新宿,３,04:44,2025-09-06T04:44:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T04:42:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T04:44:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T05:22:00+09:00""}]"
5,46,00020039,特急,新宿,３,05:46,2025-09-06T05:46:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T05:33:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T05:35:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T05:46:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T06:25:00+09:00""}]"
6,1,00020002,特急,新宿,３,06:01,2025-09-06T06:01:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T05:58:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T06:01:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T06:40:00+09:00""}]"
6,16,0002003a,特急,新宿,３,06:16,2025-09-06T06:16:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T06:00:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T06:03:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T06:16:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T06:54:00+09:00""}]"
6,30,00020004,特急,新宿,３,06:30,2025-09-06T06:30:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T06:28:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T06:30:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T07:13:00+09:00""}]"
6,40,00020006,特急,新宿,３,06:40,2025-09-06T06:40:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T06:38:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T06:40:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T07:23:00+09:00""}]"
6,48,00020008,特急,新宿,３,06:48,2025-09-06T06:48:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T06:45:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T06:48:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T07:32:00+09:00""}]"
6,57,0002003b,特急,新宿,３,06:57,2025-09-06T06:57:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T06:44:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T06:47:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T06:57:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T07:43:00+09:00""}]"
7,7,0002000a,特急,新宿,３,07:07,2025-09-06T07:07:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T07:05:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T07:07:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T07:50:00+09:00""}]"
7,20,0002000c,特急,新宿,３,07:20,2025-09-06T07:20:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T07:17:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T07:20:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T08:04:00+09:00""}]"
