hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
18,41,80020245,特急,京王八王子,３,18:41,2025-09-08T18:41:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T18:41:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T19:23:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T19:25:00+09:00""}]"
18,52,80020247,特急,京王八王子,３,18:52,2025-09-08T18:52:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T18:52:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T19:33:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T19:35:00+09:00""}]"
19,1,80020249,特急,京王八王子,３,19:01,2025-09-08T19:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T19:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T19:45:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T19:47:00+09:00""}]"
19,12,8002024b,特急,京王八王子,３,19:12,2025-09-08T19:12:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T19:12:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T19:52:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T19:55:00+09:00""}]"
19,21,8002024d,特急,京王八王子,３,19:21,2025-09-08T19:21:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T19:21:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T20:02:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T20:05:00+09:00""}]"
19,32,8002024f,特急,京王八王子,３,19:32,2025-09-08T19:32:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T19:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T20:12:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T20:15:00+09:00""}]"
19,41,80020251,特急,京王八王子,３,19:41,2025-09-08T19:41:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T19:41:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T20:23:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T20:25:00+09:00""}]"
19,52,80020253,特急,京王八王子,３,19:52,2025-09-08T19:52:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T19:52:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T20:33:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T20:35:00+09:00""}]"
20,1,80020255,特急,京王八王子,３,20:01,2025-09-08T20:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T20:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T20:44:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T20:47:00+09:00""}]"
20,8,800202cf,急行,京王八王子,３,20:08,2025-09-08T20:08:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T20:08:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T20:53:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T20:56:00+09:00""}]"
