hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
17,6,00040054,各駅停車,新宿,１,17:06,2025-09-07T17:06:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T17:06:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T17:09:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T17:22:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T18:36:00+09:00""}]"
17,15,0004006d,Mt.TAKAO号,新宿,２,17:15,2025-09-07T17:15:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T17:15:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T17:17:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T17:26:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T18:09:00+09:00""}]"
17,17,00040055,各駅停車,新宿,１,17:17,2025-09-07T17:17:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T17:17:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T17:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T17:34:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T18:47:00+09:00""}]"
17,28,00040019,特急,新宿,１,17:28,2025-09-07T17:28:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T17:28:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T17:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T17:42:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T18:25:00+09:00""}]"
17,36,00040056,各駅停車,新宿,２,17:36,2025-09-07T17:36:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T17:36:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T17:40:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T17:54:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T19:07:00+09:00""}]"
17,48,0004001a,特急,新宿,１,17:48,2025-09-07T17:48:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T17:48:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T17:52:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T18:02:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T18:45:00+09:00""}]"
17,57,00040057,各駅停車,新宿,２,17:57,2025-09-07T17:57:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T17:57:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T18:00:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T18:14:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T19:27:00+09:00""}]"
18,7,0004001b,特急,新宿,１,18:07,2025-09-07T18:07:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T18:07:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T18:12:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T18:22:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T19:05:00+09:00""}]"
18,16,00040058,各駅停車,新宿,２,18:16,2025-09-07T18:16:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T18:16:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T18:21:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T18:34:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T19:47:00+09:00""}]"
18,27,0004001c,特急,新宿,１,18:27,2025-09-07T18:27:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T18:27:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T18:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T18:42:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T19:25:00+09:00""}]"
